subfolder,filename,n,m,T_star,Cmax,ratio,time_total,best_objective,best_type,best_gap,best_time
instanciasde10a100,514.txt,500,10,884,898.0,1.015837,0.653,884.0,0.0,0.0,6611.63
instanciasde10a100,515.txt,500,10,863,891.0,1.032445,0.774,864.0,0.0,0.0,206.94
instanciasde10a100,516.txt,500,10,899,960.0,1.067853,0.76,901.0,1.0,2.0,300.0
instanciasde10a100,517.txt,500,10,893,947.0,1.06047,0.616,895.0,1.0,2.0,300.0
instanciasde10a100,518.txt,500,10,921,978.0,1.061889,0.552,922.0,1.0,1.0,300.0
instanciasde10a100,519.txt,500,10,914,968.0,1.059081,0.573,916.0,1.0,1.0,300.0
instanciasde10a100,520.txt,500,10,892,935.0,1.048206,0.723,893.0,0.0,0.0,318.27
instanciasde10a100,521.txt,500,20,353,373.0,1.056657,1.156,354.0,1.0,1.0,300.0
instanciasde10a100,522.txt,500,20,345,365.0,1.057971,1.393,346.0,1.0,1.0,300.0
instanciasde10a100,523.txt,500,20,357,373.0,1.044818,1.174,359.0,1.0,1.0,300.0
instanciasde10a100,524.txt,500,20,351,376.0,1.071225,1.237,351.0,0.0,0.0,3381.78
instanciasde10a100,525.txt,500,20,347,376.0,1.083573,1.315,348.0,1.0,1.0,300.0
instanciasde10a100,526.txt,500,20,352,378.0,1.073864,1.409,354.0,1.0,1.0,300.0
instanciasde10a100,527.txt,500,20,349,362.0,1.037249,1.26,350.0,0.0,0.0,2201.45
instanciasde10a100,528.txt,500,20,349,370.0,1.060172,1.294,350.0,1.0,1.0,300.0
instanciasde10a100,529.txt,500,20,354,387.0,1.09322,1.349,356.0,3.0,2.0,300.0
instanciasde10a100,530.txt,500,20,353,380.0,1.076487,1.124,355.0,1.0,1.0,300.0
instanciasde10a100,531.txt,500,30,210,225.0,1.071429,2.147,212.0,3.0,1.0,300.0
instanciasde10a100,532.txt,500,30,208,226.0,1.086538,1.934,209.0,1.0,1.0,300.0
instanciasde10a100,533.txt,500,30,212,230.0,1.084906,1.967,213.0,1.0,1.0,300.0
instanciasde10a100,534.txt,500,30,207,231.0,1.115942,1.754,208.0,1.0,1.0,300.0
instanciasde10a100,535.txt,500,30,206,219.0,1.063107,2.109,209.0,3.0,2.0,300.0
instanciasde10a100,536.txt,500,30,209,248.0,1.186603,2.036,212.0,3.0,2.0,300.0
