subfolder,filename,n,m,T_star,Cmax,ratio,time_total,int_in_lp
JobsCorre,514.txt,500,10,2752,2876.0,1.045058,1.063,484
JobsCorre,515.txt,500,10,2596,2744.0,1.057011,0.96,479
JobsCorre,516.txt,500,10,2611,2656.0,1.017235,1.069,490
JobsCorre,517.txt,500,10,2521,2589.0,1.026973,1.117,486
JobsCorre,518.txt,500,10,2638,2715.0,1.029189,1.006,490
JobsCorre,519.txt,500,10,2710,2972.0,1.096679,1.069,473
JobsCorre,520.txt,500,10,2630,2802.0,1.065399,0.982,483
JobsCorre,521.txt,500,20,1272,1341.0,1.054245,1.984,483
JobsCorre,522.txt,500,20,1293,1391.0,1.075793,2.225,474
JobsCorre,523.txt,500,20,1319,1390.0,1.053829,2.114,479
JobsCorre,524.txt,500,20,1353,1424.0,1.052476,2.347,480
JobsCorre,525.txt,500,20,1327,1470.0,1.107762,2.326,474
JobsCorre,526.txt,500,20,1283,1362.0,1.061574,2.283,481
JobsCorre,527.txt,500,20,1333,1407.0,1.055514,2.539,473
JobsCorre,528.txt,500,20,1290,1363.0,1.056589,2.114,474
JobsCorre,529.txt,500,20,1276,1350.0,1.057994,2.071,480
JobsCorre,530.txt,500,20,1281,1358.0,1.060109,1.95,478
JobsCorre,531.txt,500,30,885,964.0,1.089266,3.593,467
JobsCorre,532.txt,500,30,834,930.0,1.115108,3.299,462
JobsCorre,533.txt,500,30,862,983.0,1.140371,3.826,462
JobsCorre,534.txt,500,30,855,938.0,1.097076,3.852,467
JobsCorre,535.txt,500,30,892,1110.0,1.244395,3.656,459
JobsCorre,536.txt,500,30,879,949.0,1.079636,3.823,471
JobsCorre,537.txt,500,30,841,1007.0,1.197384,3.839,464
JobsCorre,538.txt,500,30,834,914.0,1.095923,3.636,467
JobsCorre,539.txt,500,30,862,929.0,1.077726,3.533,472
JobsCorre,540.txt,500,30,865,939.0,1.085549,3.817,464
JobsCorre,541.txt,500,40,655,727.0,1.109924,4.541,456
JobsCorre,542.txt,500,40,654,722.0,1.103976,4.634,451
JobsCorre,543.txt,500,40,636,782.0,1.22956,4.8,453
JobsCorre,544.txt,500,40,647,727.0,1.123648,4.228,459
JobsCorre,545.txt,500,40,673,791.0,1.175334,4.328,451
JobsCorre,546.txt,500,40,647,717.0,1.108192,4.74,456
JobsCorre,547.txt,500,40,664,756.0,1.138554,4.826,462
JobsCorre,548.txt,500,40,636,724.0,1.138365,5.058,453
JobsCorre,549.txt,500,40,623,705.0,1.131621,4.501,458
JobsCorre,550.txt,500,40,617,687.0,1.113452,4.759,460
JobsCorre,551.txt,500,50,504,590.0,1.170635,6.648,446
JobsCorre,552.txt,500,50,524,678.0,1.293893,6.236,441
JobsCorre,553.txt,500,50,519,621.0,1.196532,6.217,445
JobsCorre,554.txt,500,50,512,608.0,1.1875,6.298,451
JobsCorre,555.txt,500,50,531,650.0,1.224105,6.959,442
JobsCorre,556.txt,500,50,520,619.0,1.190385,6.163,441
JobsCorre,557.txt,500,50,510,594.0,1.164706,7.009,453
JobsCorre,558.txt,500,50,529,613.0,1.15879,6.487,450
JobsCorre,559.txt,500,50,526,630.0,1.197719,5.064,449
JobsCorre,560.txt,500,50,516,587.0,1.137597,5.07,452
MaqCorre,1011.txt,1000,10,2544,2687.0,1.056211,3.501,980
MaqCorre,1012.txt,1000,10,3534,3578.0,1.01245,3.611,989
MaqCorre,1013.txt,1000,10,2037,2124.0,1.04271,3.178,979
MaqCorre,1014.txt,1000,10,4306,4386.0,1.018579,3.206,989
MaqCorre,1015.txt,1000,10,2644,2709.0,1.024584,3.288,985
MaqCorre,1016.txt,1000,10,6281,6319.0,1.00605,3.697,990
MaqCorre,1017.txt,1000,10,3574,3651.0,1.021544,3.772,990
MaqCorre,1018.txt,1000,10,2819,2863.0,1.015608,2.474,986
